BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
USDT-USD,Tether USD
BNB-USD,Binance Coin USD
USDC-USD,USD Coin USD
XRP-USD,XRP USD
SOL-USD,Solana USD
ADA-USD,Cardano USD
LUNA1-USD,Terra USD
HEX-USD,HEX USD
AVAX-USD,Avalanche USD
DOGE-USD,Dogecoin USD
DOT-USD,Polkadot USD
BUSD-USD,Binance USD USD
UST-USD,TerraUSD USD
SHIB-USD,SHIBA INU USD
WBTC-USD,Wrapped Bitcoin USD
MATIC-USD,Polygon USD
NEAR-USD,NEAR Protocol USD
CRO-USD,Crypto.com Coin USD
DAI-USD,Dai USD
LTC-USD,Litecoin USD
ATOM-USD,Cosmos USD
UNI1-USD,Uniswap USD
LINK-USD,Chainlink USD
BCH-USD,Bitcoin Cash USD
TRX-USD,TRON USD
WTRX-USD,Wrapped TRON USD
STETH-USD,Lido stETH USD
FTT-USD,FTX Token USD
LEO-USD,UNUS SED LEO USD
XLM-USD,Stellar USD
ETC-USD,Ethereum Classic USD
ALGO-USD,Algorand USD
XMR-USD,Monero USD
BTCB-USD,Bitcoin BEP2 USD
VET-USD,VeChain USD
MANA-USD,Decentraland USD
HBAR-USD,Hedera USD
ICP-USD,Internet Computer USD
FIL-USD,Filecoin USD
EGLD-USD,Elrond USD
APE3-USD,ApeCoin USD
SAND-USD,The Sandbox USD
THETA-USD,THETA USD
FTM-USD,Fantom USD
AXS-USD,Axie Infinity USD
XTZ-USD,Tezos USD
KLAY-USD,Klaytn USD
RUNE-USD,THORChain USD
FRAX-USD,Frax USD
TONCOIN-USD,Toncoin USD
HNT-USD,Helium USD
WBNB-USD,Wrapped BNB USD
AAVE-USD,Aave USD
EOS-USD,EOS USD
CAKE-USD,PancakeSwap USD
WAVES-USD,Waves USD
DFI-USD,DeFiChain USD
FLOW-USD,Flow USD
ZEC-USD,Zcash USD
MKR-USD,Maker USD
MIOTA-USD,IOTA USD
BTT-USD,BitTorrent USD
BTT2-USD,BitTorrent (new) USD
XCN1-USD,Chain USD
XEC-USD,eCash USD
GRT1-USD,The Graph USD
OSMO-USD,Osmosis USD
CVX-USD,Convex Finance USD
BSV-USD,Bitcoin SV USD
HBTC-USD,Huobi BTC USD
KCS-USD,KuCoin Token USD
STX-USD,Stacks USD
NEO-USD,Neo USD
HT-USD,Huobi Token USD
ONE1-USD,Harmony USD
CHZ-USD,Chiliz USD
ZIL-USD,Zilliqa USD
GALA-USD,Gala USD
KSM-USD,Kusama USD
QNT-USD,Quant USD
TUSD-USD,TrueUSD USD
CELO-USD,Celo USD
ENJ-USD,Enjin Coin USD
GMT3-USD,Green Metaverse Token USD
NEXO-USD,Nexo USD
OKB-USD,OKB USD
LRC-USD,Loopring USD
DASH-USD,Dash USD
BAT-USD,Basic Attention Token USD
MINA-USD,Mina USD
CRV-USD,Curve DAO Token USD
AR-USD,Arweave USD
USDN-USD,Neutrino USD USD
SAFE1-USD,Safe USD
COMP1-USD,Compound USD
AMP-USD,Amp USD
KDA-USD,Kadena USD
USDP-USD,Pax Dollar USD
XEM-USD,NEM USD
TFUEL-USD,Theta Fuel USD
HOT1-USD,Holo USD
GLMR-USD,Moonbeam USD
LN-USD,LINK USD
ROSE-USD,Oasis Network USD
SCRT-USD,Secret USD
KNC-USD,Kyber Network Crystal v2 USD
DCR-USD,Decred USD
AUDIO-USD,Audius USD
KAVA-USD,Kava USD
ANC1-USD,Anchor Protocol USD
ASTR-USD,Astar USD
LUSD-USD,Liquity USD USD
IOTX-USD,IoTeX USD
SKL-USD,SKALE Network USD
BORA-USD,BORA USD
ICX-USD,ICON USD
YFI-USD,yearn.finance USD
QTUM-USD,Qtum USD
BIT1-USD,BitDAO USD
NXM-USD,NXM USD
XDC-USD,XDC Network USD
XYM-USD,Symbol USD
OMG-USD,OMG Network USD
GNO-USD,Gnosis USD
1INCH-USD,1inch Network USD
SNX-USD,Synthetix USD
ZRX-USD,0x USD
PAXG-USD,PAX Gold USD
ANKR-USD,Ankr USD
CCXX-USD,Counos X USD
BTG-USD,Bitcoin Gold USD
CBG-USD,Chainbing USD
BNT-USD,Bancor USD
SXP-USD,Swipe USD
RVN-USD,Ravencoin USD
JST-USD,JUST USD
RACA-USD,Radio Caca USD
IOST-USD,IOST USD
WAXP-USD,WAX USD
ACA1-USD,Acala Token USD
SC-USD,Siacoin USD
CEL-USD,Celsius USD
GT-USD,GateToken USD
WVLX-USD,Wrapped Velas USD
VLX-USD,Velas USD
RNDR-USD,Render Token USD
LPT-USD,Livepeer USD
RENBTC-USD,renBTC USD
WOO-USD,WOO Network USD
WEMIX-USD,WEMIX USD
FXS-USD,Frax Share USD
